,TRIP_MILES,TRIP_SECONDS,FARE,COMPANY,TIP_RATE,TRIP_MINUTES
0,2.57,2341,31.99,Flash Cab,6.3,39.016666666666666
1,1.18,1074,9.75,Flash Cab,27.9,17.9
2,1.29,1173,10.25,Sun Taxi,0.0,19.55
3,3.7,3360,23.75,Choice Taxi Association,0.0,56.0
4,1.15,1044,10.0,Flash Cab,0.0,17.4
5,1.38,1251,11.0,Flash Cab,27.3,20.85
6,2.0,1813,14.5,Sun Taxi,0.0,30.216666666666665
7,2.05,1857,14.75,Sun Taxi,25.8,30.95
8,0.87,787,8.0,City Service,0.0,13.116666666666667
9,1.55,1399,17.88,Flash Cab,23.0,23.316666666666666
10,4.37,3934,30.25,Flash Cab,0.0,65.56666666666666
11,0.6,540,6.5,Taxi Affiliation Services,0.0,9.0
12,0.8,720,7.5,Top Cab Affiliation,26.7,12.0
13,0.8,720,7.5,Globe Taxi,0.0,12.0
14,0.6,540,6.75,Taxi Affiliation Services,0.0,9.0
15,1.35,1207,10.75,City Service,27.9,20.116666666666667
16,1.45,1295,8.25,Blue Ribbon Taxi Association,0.0,21.583333333333332
17,2.97,2646,20.5,Flash Cab,0.0,44.1
18,1.79,1593,9.0,City Service,0.0,26.55
19,0.79,702,7.5,City Service,40.0,11.7
20,1.39,1235,11.5,Medallion Leasin,0.0,20.583333333333332
21,0.52,462,6.0,Flash Cab,66.7,7.7
22,1.0,888,9.0,Taxicab Insurance Agency Llc,0.0,14.8
23,1.01,896,9.0,Flash Cab,0.0,14.933333333333334
24,1.8,1594,14.75,Taxicab Insurance Agency Llc,0.0,26.566666666666666
25,0.6,531,9.0,Flash Cab,17.2,8.85
26,7.14,6317,48.5,Flash Cab,0.0,105.28333333333333
27,3.91,3453,26.5,Flash Cab,0.0,57.55
28,1.7,1500,12.5,Choice Taxi Association,0.0,25.0
29,4.0,3509,26.5,24 Seven Taxi,0.0,58.483333333333334
30,2.4,2100,16.75,Taxi Affiliation Services,25.7,35.0
31,0.84,734,8.0,Taxicab Insurance Agency Llc,0.0,12.233333333333333
32,0.83,725,7.75,Medallion Leasin,0.0,12.083333333333334
33,2.97,2585,21.25,Blue Ribbon Taxi Association,0.0,43.083333333333336
34,1.85,1607,13.5,Medallion Leasin,0.0,26.783333333333335
35,0.9,780,8.25,Taxi Affiliation Services,0.0,13.0
36,0.57,492,6.25,Sun Taxi,0.0,8.2
37,0.62,534,6.5,Flash Cab,46.2,8.9
38,3.54,3043,23.25,Taxicab Insurance Agency Llc,0.0,50.71666666666667
39,1.35,1157,10.75,Flash Cab,0.0,19.283333333333335
40,1.57,1345,12.0,Flash Cab,16.7,22.416666666666668
41,5.47,4679,35.75,Flash Cab,0.0,77.98333333333333
42,1.16,992,9.5,Taxicab Insurance Agency Llc,0.0,16.533333333333335
43,0.6,512,6.25,Flash Cab,64.0,8.533333333333333
44,1.9,1620,14.0,Taxi Affiliation Services,0.0,27.0
45,0.98,834,8.5,Flash Cab,47.1,13.9
46,1.72,1462,13.0,Flash Cab,0.0,24.366666666666667
47,3.87,3285,25.75,Flash Cab,0.0,54.75
48,2.9,2460,18.75,Taxi Affiliation Services,0.0,41.0
49,2.46,2086,17.75,Flash Cab,0.0,34.766666666666666
50,3.75,3170,27.75,Patriot Taxi Dba Peace Taxi Associat,0.0,52.833333333333336
51,4.55,3840,31.0,Flash Cab,0.0,64.0
52,1.06,894,9.0,Star North Taxi Management Llc,0.0,14.9
53,0.67,564,6.75,Globe Taxi,44.4,9.4
54,1.56,1312,11.75,Medallion Leasin,0.0,21.866666666666667
55,1.0,840,8.5,Taxi Affiliation Services,23.5,14.0
56,0.5,420,5.5,Choice Taxi Association,0.0,7.0
